Título,Link da Oferta,Desconto,Preço Promocional,Preço Normal
DRAGON BALL XENOVERSE 2 - Extra DLC Pack 4,https://store.playstation.com/pt-br/product/UP0700-CUSA05350_00-DBXV2KEY84DLC800,-50%,"R$21,45","R$42,90"
DRAGON BALL XENOVERSE 2 - HERO OF JUSTICE PACK 1,https://store.playstation.com/pt-br/product/UP0700-CUSA05350_00-DBXV2KEYA9DLCA15,-50%,"R$21,45","R$53,90"
DRAGON BALL XENOVERSE 2 - HERO OF JUSTICE PACK 2,https://store.playstation.com/pt-br/product/UP0700-CUSA05350_00-DBXV2KEYACDLCA16,-50%,"R$26,95","R$42,90"
DRAGON BALL XENOVERSE 2 - Ultrapacote 1,https://store.playstation.com/pt-br/product/UP0700-CUSA05350_00-DBXV2KEY88DLC900,-25%,"R$21,45","R$299,90"
Lies of P,https://store.playstation.com/pt-br/product/UP1685-PPSA10261_00-4396566144501976,-70%,"R$224,92","R$207,90"
The Witcher 3: Wild Hunt – Complete Edition,https://store.playstation.com/pt-br/product/UP4497-PPSA03972_00-00000000000GOTY7,-75%,"R$62,37","R$349,90"
Edição Cross-Gen PGA TOUR 2K23,https://store.playstation.com/pt-br/product/UP1001-PPSA04390_00-PGATOUR2K23CRSGN,-75%,"R$87,47","R$299,90"
PGA TOUR 2K23,https://store.playstation.com/pt-br/product/UP1001-CUSA29052_00-00000PGATOUR2K23,-50%,"R$74,97","R$53,90"
Pacote Bônus Michael Jordan do PGA TOUR 2K23,https://store.playstation.com/pt-br/product/UP1001-PPSA04390_00-PGAMJBONUSBUNDLE,-25%,"R$26,95","R$79,90"
PGA TOUR 2K23 Style & Swing Pack,https://store.playstation.com/pt-br/product/UP1001-PPSA04390_00-0000ULTIMATEPACK,-67%,"R$59,92","R$599,50"
Edição Tiger Woods PGA TOUR 2K23,https://store.playstation.com/pt-br/product/UP1001-PPSA04390_00-PGATOUR2K23TWED0,-50%,"R$197,83","R$79,90"
PGA TOUR 2K23 Ultimate Head Start Pack,https://store.playstation.com/pt-br/product/UP1001-PPSA04390_00-ULTIMATEHEADPACK,-25%,"R$78,67","R$104,90"
LEGO® Star Wars™: A Saga Skywalker Edição Galáctica,https://store.playstation.com/pt-br/product/UP1018-PPSA01864_00-LEGOSWTSSGE00000,-70%,"R$89,97","R$299,90"
LEGO® Star Wars™ A Saga Skywalker PS4 & PS5,https://store.playstation.com/pt-br/product/UP1018-PPSA01864_00-LEGOSWTSS0000000,-70%,"R$68,99","R$229,99"
LEGO® Star Wars™: A Saga Skywalker - Coleção de Personagens 1,https://store.playstation.com/pt-br/product/UP1018-PPSA01864_00-SP00000000000000,-70%,"R$17,99","R$59,99"
Coleções de Personagens 1 e 2 de LEGO® Star Wars™: A Saga Skywalker,https://store.playstation.com/pt-br/product/UP1018-PPSA01864_00-SP12000000000000,-70%,"R$29,97","R$99,90"
Coleção de Personagens 2 de LEGO® Star Wars™: A Saga Skywalker,https://store.playstation.com/pt-br/product/UP1018-PPSA01864_00-SP20000000000000,-70%,"R$17,97","R$59,90"
Guilty Gear -Strive-,https://store.playstation.com/pt-br/product/UP0036-PPSA02181_00-GGSTPS5US0000100,-50%,"R$99,75","R$199,50"
Passe da Temporada 1 de GGST,https://store.playstation.com/pt-br/product/UP0036-PPSA02181_00-GGXSTDATSPASS000,-50%,"R$66,95","R$133,90"
Passe de Temporada 2 do GGST,https://store.playstation.com/pt-br/product/UP0036-PPSA02181_00-GGXSTDATSPASS001,-30%,"R$93,73","R$133,90"
GGST Additional Character #1 Goldlewis Dickinson,https://store.playstation.com/pt-br/product/UP0036-PPSA02181_00-GGSTDATACHARA000,-50%,"R$18,75","R$37,50"
GGST Additional Character #2 Jack-O',https://store.playstation.com/pt-br/product/UP0036-CUSA19210_00-GGSTDATACHARA001,-50%,"R$18,75","R$37,50"
GGST Additional Character #2 Jack-O',https://store.playstation.com/pt-br/product/UP0036-PPSA02181_00-GGSTDATACHARA001,-50%,"R$18,75","R$37,50"
GGST Additional Character #3 Feliz Caos,https://store.playstation.com/pt-br/product/UP0036-PPSA02181_00-GGSTDATACHARA002,-50%,"R$18,75","R$37,50"
GGST Additional Character #4 Baiken,https://store.playstation.com/pt-br/product/UP0036-PPSA02181_00-GGSTDATACHARA003,-50%,"R$18,75","R$37,50"
GGST Additional Character #5 Testament,https://store.playstation.com/pt-br/product/UP0036-PPSA02181_00-GGSTDATACHARA004,-50%,"R$18,75","R$37,50"
Dead Island 2 - Haus,https://store.playstation.com/pt-br/product/UP2047-PPSA03098_00-DI2SE1PS5SIEA000,-25%,"R$52,42","R$69,90"
DEAD ISLAND 2 EXPANSION PASS,https://store.playstation.com/pt-br/product/UP2047-PPSA03098_00-DI20EXP0PS50SIEA,-40%,"R$100,26","R$167,11"
FINAL FANTASY XIV Online - Complete Collector’s Edition,https://store.playstation.com/pt-br/product/UP0082-PPSA02954_00-FFXIVCOMPLETE04C,-60%,"R$299,96","R$749,90"
FINAL FANTASY XIV Online - Complete Edition,https://store.playstation.com/pt-br/product/UP0082-PPSA02954_00-FFXIVCOMPLETE04S,-60%,"R$127,96","R$319,90"
FINAL FANTASY XIV: Endwalker - Collector’s Edition [PS4 & PS5],https://store.playstation.com/pt-br/product/UP0082-PPSA02954_00-C0EC04SET0000000,-60%,"R$127,96","R$319,90"
FINAL FANTASY XIV: Endwalker [PS4 & PS5],https://store.playstation.com/pt-br/product/UP0082-PPSA02954_00-C0EX04SET0000000,-60%,"R$85,96","R$214,90"
Grand Theft Auto: The Trilogy — The Definitive Edition (PS5 & PS4),https://store.playstation.com/pt-br/product/UP1004-PPSA05804_00-GTATRILOGYBUNDLE,-50%,"R$149,95","R$299,90"
Mortal Kombat 11 Ultimate PS4 & PS5,https://store.playstation.com/pt-br/product/UP1018-PPSA01618_00-MK11ULTIMATEKOLL,-85%,"R$41,99","R$279,99"
Pacote de Skins - Filme MK Klássico,https://store.playstation.com/pt-br/product/UP1018-CUSA11395_00-MOVIESKINPACK000,-60%,"R$12,76","R$31,90"
Pacote de Skins - Filme MK Klássico,https://store.playstation.com/pt-br/product/UP1018-PPSA01617_00-MOVIESKINPACK000,-60%,"R$12,76","R$31,90"
