Título,Link da Oferta,Desconto,Preço Promocional,Preço Normal
Graveyard Keeper: Last Journey Edition,https://store.playstation.com/pt-br/product/UP0097-CUSA10727_00-0080664007474960,-75%,"R$66,22","R$264,90"
We Were Here Forever,https://store.playstation.com/pt-br/product/UP6535-PPSA03594_00-4337367104000844,-45%,"R$52,19","R$94,90"
Blasphemous,https://store.playstation.com/pt-br/product/UP4064-CUSA16275_00-BLASPHEMOUS00000,-75%,"R$25,97","R$103,90"
Passe Anual Back 4 Blood,https://store.playstation.com/pt-br/product/UP1018-PPSA01695_00-000000SEASONPASS,-85%,"R$29,99","R$199,99"
Back 4 Blood: Ultimate Edition PS4 & PS5,https://store.playstation.com/pt-br/product/UP1018-PPSA01695_00-BACK4BLOODULTIMA,-90%,"R$49,99","R$499,99"
Dakar Desert Rally - Classics Vehicle Pack #1,https://store.playstation.com/pt-br/product/UP6856-PPSA05827_00-DAKARCLASSICSPA1,-40%,"R$32,34","R$53,90"
Dakar Desert Rally - Classics Vehicle Pack #2,https://store.playstation.com/pt-br/product/UP6856-PPSA05827_00-DAKARCLASSICSPA2,-40%,"R$32,34","R$53,90"
Dakar Desert Rally - Deluxe Edition PS4 & PS5,https://store.playstation.com/pt-br/product/UP6856-PPSA05827_00-DKRGAMEDEPS500US,-60%,"R$105,96","R$264,90"
Dakar Desert Rally - Hybrid Vehicle Pack,https://store.playstation.com/pt-br/product/UP6856-PPSA05827_00-DAKARHYBRIDVPACK,-40%,"R$32,34","R$53,90"
Dakar Desert Rally - Legends Pack,https://store.playstation.com/pt-br/product/UP6856-PPSA05827_00-DDRDLC0000000001,-40%,"R$32,34","R$53,90"
Dakar Desert Rally - SnowRunner Trucks Pack,https://store.playstation.com/pt-br/product/UP6856-PPSA05827_00-DAKARSNOWRUNNERP,-40%,"R$32,34","R$53,90"
Dakar Desert Rally - USA Tour,https://store.playstation.com/pt-br/product/UP6856-PPSA05827_00-DAKARUSATOUREXPA,-40%,"R$32,34","R$53,90"
Dakar Desert Rally PS4 & PS5,https://store.playstation.com/pt-br/product/UP6856-PPSA05827_00-DKRGAMEPS50000US,-40%,"R$95,94","R$159,90"
Potion Craft: Alchemist Simulator,https://store.playstation.com/pt-br/product/UP0097-PPSA09608_00-3926585099094242,-30%,"R$73,43","R$104,90"
GreedFall - Standard Edition,https://store.playstation.com/pt-br/product/UP4133-PPSA02982_00-GREEDFALL0000000,-75%,"R$46,72","R$186,90"
GreedFall - The De Vespe Conspiracy,https://store.playstation.com/pt-br/product/UP4133-PPSA02982_00-GREEDFALL00DLC02,-50%,"R$18,75","R$37,50"
The Escapists 2,https://store.playstation.com/pt-br/product/UP4064-CUSA06267_00-THEESCAPISTS2000,-75%,"R$20,87","R$83,50"
The Escapists 2 - Big Top Breakout,https://store.playstation.com/pt-br/product/UP4064-CUSA06267_00-THEESCAPISTS2003,-50%,"R$10,75","R$21,50"
The Escapists 2 - Dungeons and Duct Tape,https://store.playstation.com/pt-br/product/UP4064-CUSA06267_00-THEESCAPISTS2004,-50%,"R$10,75","R$21,50"
The Escapists 2 - The Glorious Regime,https://store.playstation.com/pt-br/product/UP4064-CUSA06267_00-THEESCAPISTS2001,-50%,"R$10,75","R$21,50"
The Escapists 2 - Wicked Ward,https://store.playstation.com/pt-br/product/UP4064-CUSA06267_00-THEESCAPISTS2002,-50%,"R$10,75","R$21,50"
Assassin's Creed Rogue Remastered,https://store.playstation.com/pt-br/product/UP0001-CUSA10158_00-ACROGUEBRAZIL000,-70%,"R$23,99","R$79,99"
Saints Row IV Re-Elected,https://store.playstation.com/pt-br/product/UP2047-CUSA01164_00-DIGISAINTSROW4NG,-80%,"R$13,39","R$66,99"
Thief Simulator,https://store.playstation.com/pt-br/product/UP1564-CUSA20102_00-CLABS0TS20200430,-75%,"R$20,87","R$83,50"
Broforce,https://store.playstation.com/pt-br/product/UP3643-CUSA00911_00-00000BROFORCEPS4,-80%,"R$15,98","R$79,90"
Outlast 2,https://store.playstation.com/pt-br/product/UP2113-CUSA06623_00-OUTLAST200000000,-90%,"R$14,95","R$149,50"
Outlast: Trinity,https://store.playstation.com/pt-br/product/UP2113-CUSA06623_00-OUTLASTTRINITY01,-90%,"R$31,49","R$314,90"
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,https://store.playstation.com/pt-br/product/UP0101-CUSA17688_00-YGOLOTDLEXXXXXXX,-75%,"R$53,72","R$214,90"
Going Commando Cosmetic Pack,https://store.playstation.com/pt-br/product/UP2047-PPSA02813_00-TACPACSDLC00SIEA,-50%,"R$7,95","R$15,90"
Idols Anarchy Pack,https://store.playstation.com/pt-br/product/UP2047-PPSA02813_00-SRIDOLSDLC00SIEA,-50%,"R$7,95","R$15,90"
Los Panteros American Muscle Bundle,https://store.playstation.com/pt-br/product/UP2047-PPSA02813_00-SRLOSPANDLC0SIEA,-50%,"R$7,95","R$15,90"
Saints Criminal Customs,https://store.playstation.com/pt-br/product/UP2047-PPSA02813_00-SRCRIMCUSDLCSIEA,-50%,"R$7,95","R$15,90"
Saints Row: Chicken Dinner Cosmetic Pack,https://store.playstation.com/pt-br/product/UP2047-PPSA02813_00-CHICKENDLC00SIEA,-50%,"R$7,95","R$15,90"
Saints Row: Merry Saintsmas Cosmetic Pack,https://store.playstation.com/pt-br/product/UP2047-PPSA02813_00-SRDLC0000004SIEA,-50%,"R$7,95","R$15,90"
Rise of the Tomb Raider: Comemoração de 20 anos,https://store.playstation.com/pt-br/product/UP0082-CUSA05794_00-RISEOFTOMBRAIDER,-80%,"R$29,90","R$149,50"
Metal: Hellsinger (PS4),https://store.playstation.com/pt-br/product/UP1850-CUSA25652_00-METALHELLSINGER0,-50%,"R$79,95","R$159,90"
Metal: Hellsinger (PS5),https://store.playstation.com/pt-br/product/UP1850-PPSA01953_00-METALHELLSINGER0,-50%,"R$107,45","R$214,90"
Skullgirls 2nd Encore,https://store.playstation.com/pt-br/product/UP2032-CUSA01606_00-SG2NDENCORE00000,-80%,"R$26,78","R$133,90"
Skullgirls: Annie,https://store.playstation.com/pt-br/product/UP2032-CUSA01606_00-SKULLGIRLS1ANNIE,-15%,"R$45,81","R$53,90"
Skullgirls: Black Dahlia,https://store.playstation.com/pt-br/product/UP2032-CUSA01606_00-SKULLGIRLSDAHLIA,-15%,"R$45,81","R$53,90"
Skullgirls: Umbrella,https://store.playstation.com/pt-br/product/UP2032-CUSA01606_00-SKULLGIRLSBRELLA,-15%,"R$45,81","R$53,90"
Quiplash,https://store.playstation.com/pt-br/product/UP2139-CUSA02433_00-QUIPLASHJBGPS410,-50%,"R$20,75","R$41,50"
Assetto Corsa - DLC de 70º aniversário da Ferrari,https://store.playstation.com/pt-br/product/UP4040-CUSA01830_00-ASSETTOFERRARI70,-60%,"R$15,00","R$37,50"
Assetto Corsa - DLC Pacote Japonês,https://store.playstation.com/pt-br/product/UP4040-CUSA01830_00-ASSETTOJAPANPK02,-60%,"R$10,76","R$26,90"
Assetto Corsa - Pacote DLC de melhoria de desempenho,https://store.playstation.com/pt-br/product/UP4040-CUSA01830_00-ACDLCPRESTIGEUNL,-60%,"R$10,76","R$26,90"
Assetto Corsa - Pacote de DLC Porsche 1,https://store.playstation.com/pt-br/product/UP4040-CUSA01830_00-ASSETTOPORSCHE01,-60%,"R$15,00","R$37,50"
Assetto Corsa - Porsche Pack Vol.2 DLC,https://store.playstation.com/pt-br/product/UP4040-CUSA01830_00-ASSETTOPORSCHE04,-60%,"R$15,00","R$37,50"
Assetto Corsa - Pacote Porsche Vol. 3 de DLC,https://store.playstation.com/pt-br/product/UP4040-CUSA01830_00-ASSETTOPORSCHE05,-60%,"R$15,00","R$37,50"
Assetto Corsa - Pacote de DLC de prestígio,https://store.playstation.com/pt-br/product/UP4040-CUSA01830_00-ACDLCPRESTIGEXXA,-60%,"R$15,00","R$37,50"
Assetto Corsa - DLC Pronto para correr,https://store.playstation.com/pt-br/product/UP4040-CUSA01830_00-ASSETTOREADY2RCE,-60%,"R$17,16","R$42,90"
Assetto Corsa - DLC Red Pack,https://store.playstation.com/pt-br/product/UP4040-CUSA01830_00-ASSETTOREDPACK03,-60%,"R$21,56","R$53,90"
Dead Rising,https://store.playstation.com/pt-br/product/UP0102-CUSA04513_00-DEADRISING001PS4,-70%,"R$44,99","R$149,99"
MY HERO ONE'S JUSTICE 2,https://store.playstation.com/pt-br/product/UP0700-CUSA15929_00-HEROGAME00000000,-75%,"R$49,87","R$199,50"
Moss,https://store.playstation.com/pt-br/product/UP1983-CUSA09290_00-MOSSGAME00000000,-35%,"R$64,67","R$99,50"
Kill It With Fire VR,https://store.playstation.com/pt-br/product/UP0097-PPSA08717_00-3745758618311010,-40%,"R$47,94","R$79,90"
INSIDE,https://store.playstation.com/pt-br/product/UP2054-CUSA05297_00-INSIDE0000000000,-75%,"R$18,12","R$72,50"
Killer Frequency,https://store.playstation.com/pt-br/product/UP4064-PPSA09523_00-KILLERFREQUENCY0,-50%,"R$63,45","R$126,90"
Biomutant PS4 & PS5,https://store.playstation.com/pt-br/product/UP4389-PPSA06255_00-BIOMUTANTUSPS500,-60%,"R$79,80","R$199,50"
DEATH STRANDING Digital Deluxe Edition,https://store.playstation.com/pt-br/product/UP9000-CUSA11260_00-DEATHSTRANDELUXE,-60%,"R$99,80","R$249,50"
XCOM® 2,https://store.playstation.com/pt-br/product/UP1001-CUSA04552_00-XCOM200000000000,-95%,"R$12,45","R$249,00"
XCOM® 2 Digital Deluxe Edition,https://store.playstation.com/pt-br/product/UP1001-CUSA04552_00-0000000000000012,-90%,"R$29,50","R$295,00"
XCOM® 2 Reinforcement Pack,https://store.playstation.com/pt-br/product/UP1001-CUSA04552_00-0000000000000009,-80%,"R$20,98","R$104,90"
XCOM® 2 Resistance Warrior Pack,https://store.playstation.com/pt-br/product/UP1001-CUSA04552_00-0000000000000001,-60%,"R$10,76","R$26,90"
XCOM® 2: War of the Chosen,https://store.playstation.com/pt-br/product/UP1001-CUSA04552_00-0000000000000015,-90%,"R$16,49","R$164,90"
Deep Rock Galactic - Decontaminator Pack,https://store.playstation.com/pt-br/product/UP4664-PPSA02967_00-DECONTAMINATOR00,-70%,"R$12,87","R$42,90"
Deep Rock Galactic - Deluxe Edition PS4 & PS5,https://store.playstation.com/pt-br/product/UP4664-PPSA02967_00-DRGDELUXEPS5US00,-70%,"R$62,97","R$209,90"
Deep Rock Galactic - Rival Tech,https://store.playstation.com/pt-br/product/UP4664-PPSA02967_00-DRGRIVALTECPS5US,-70%,"R$12,87","R$42,90"
Deep Rock Galactic - Roughneck Pack,https://store.playstation.com/pt-br/product/UP4664-PPSA02967_00-6390419108509846,-70%,"R$12,87","R$42,90"
Deep Rock Galactic - Ultimate Upgrade,https://store.playstation.com/pt-br/product/UP4664-PPSA02967_00-4943081119007937,-70%,"R$47,97","R$159,90"
Eternights (PS4 & PS5),https://store.playstation.com/pt-br/product/UP6847-PPSA08270_00-ETERNIGHTS0PS5US,-50%,"R$74,75","R$149,50"
Worms Battlegrounds + Worms W.M.D,https://store.playstation.com/pt-br/product/UP4064-CUSA04047_00-WORMSDCBN0000000,-80%,"R$28,98","R$144,90"
Worms W.M.D,https://store.playstation.com/pt-br/product/UP4064-CUSA04047_00-WORMSWMD00000000,-80%,"R$29,90","R$149,50"
Quem quer ser milionário?,https://store.playstation.com/pt-br/product/UP1475-CUSA23750_00-WWTBAM00000000US,-70%,"R$44,85","R$149,50"
Quem quer ser milionário? - Deluxe Upgrade,https://store.playstation.com/pt-br/product/UP1475-CUSA23750_00-WWTBAMDLC01PS4US,-70%,"R$16,17","R$53,90"
Railway Empire 2,https://store.playstation.com/pt-br/product/UP2060-PPSA04881_00-00RAILWAYEMPIRE2,-20%,"R$199,60","R$249,50"
FATAL FRAME: Mask of the Lunar Eclipse (PS4 & PS5),https://store.playstation.com/pt-br/product/UP4108-PPSA10279_00-APPZEROMOL000000,-30%,"R$185,43","R$264,90"
FATAL FRAME: Mask of the Lunar Eclipse Digital Deluxe Edition (PS4 & PS5),https://store.playstation.com/pt-br/product/UP4108-PPSA10279_00-APPZEROMOLDDX000,-30%,"R$262,43","R$374,90"
FATAL FRAME: Mask of the Lunar Eclipse Digital Deluxe Upgrade Pack,https://store.playstation.com/pt-br/product/UP4108-PPSA10279_00-ZEROMOLDDXUG0000,-30%,"R$81,83","R$116,90"
Hello Neighbor: Search and Rescue,https://store.playstation.com/pt-br/product/UP0097-PPSA11060_00-9427917386056492,-50%,"R$79,95","R$159,90"
Dishonored® Definitive Edition,https://store.playstation.com/pt-br/product/UP1003-CUSA02218_00-DISHONOREDGAMENA,-75%,"R$20,87","R$83,50"
Edição de Luxo de Paladins,https://store.playstation.com/pt-br/product/UP0334-CUSA04414_00-PALADINSDDE2022X,-50%,"R$159,95","R$319,90"
Pacote Predador Plumoso de Paladins,https://store.playstation.com/pt-br/product/UP0334-CUSA04414_00-PFEATHEREDRAPTOR,-33%,"R$53,53","R$79,90"
Edição de Ouro de Paladins,https://store.playstation.com/pt-br/product/UP0334-CUSA04414_00-GOLDEDITIONXXXXX,-75%,"R$39,97","R$159,90"
Pacote Garanhão Interestelar de Paladins,https://store.playstation.com/pt-br/product/UP0334-CUSA04414_00-PCOSMICSTALLIONX,-33%,"R$53,53","R$79,90"
Passe de Temporada 2022 de Paladins,https://store.playstation.com/pt-br/product/UP0334-CUSA04414_00-SEASONPASS2022XX,-33%,"R$125,89","R$187,90"
Pacote Baleia Voadora de Paladins,https://store.playstation.com/pt-br/product/UP0334-CUSA04414_00-SKYWHALEMOUNTXXX,-33%,"R$53,53","R$79,90"
Edição Inicial de Paladins,https://store.playstation.com/pt-br/product/UP0334-CUSA04414_00-STARTEREDITIONXX,-50%,"R$26,95","R$53,90"
Little Misfortune,https://store.playstation.com/pt-br/product/UP5329-CUSA19165_00-0000000000000666,-70%,"R$31,47","R$104,90"
Alien: Isolation,https://store.playstation.com/pt-br/product/UP0177-CUSA00363_00-ALIENISOLATIONP4,-66%,"R$33,99","R$99,99"
Mega Man X Legacy Collection,https://store.playstation.com/pt-br/product/UP0102-CUSA10785_00-RXAC100000000001,-60%,"R$35,99","R$89,99"
SpeedRunners,https://store.playstation.com/pt-br/product/UP0097-CUSA05553_00-SPEEDRUNNERS0000,-75%,"R$10,37","R$41,50"
Pacote Familiar EA,https://store.playstation.com/pt-br/product/UP0006-CUSA01925_00-FAMILYBUNDLE0000,-80%,"R$39,90","R$199,50"
Need for Speed™ Deluxe Edition,https://store.playstation.com/pt-br/product/UP0006-CUSA01925_00-B000000000001705,-90%,"R$16,99","R$169,90"
Axis Football 2024,https://store.playstation.com/pt-br/product/UP4770-CUSA45583_00-0430010962361689,-20%,"R$83,92","R$104,90"
Plants vs. Zombies™ Garden Warfare 2: Edição Deluxe,https://store.playstation.com/pt-br/product/UP0006-CUSA01975_00-B000000000001764,-85%,"R$15,58","R$103,90"
Zombie Army 4: Dead War,https://store.playstation.com/pt-br/product/UP4363-CUSA12583_00-ZOMBIEARMY400000,-90%,"R$17,99","R$179,90"
Disney•Pixar Toy Story 2: Buzz Lightyear ao resgate!,https://store.playstation.com/pt-br/product/UP1082-CUSA33334_00-6265507718650825,-50%,"R$15,95","R$31,90"
Night in the Woods,https://store.playstation.com/pt-br/product/UP0406-PPSA05488_00-1992015946390275,-50%,"R$52,45","R$104,90"
DRAGON BALL: THE BREAKERS,https://store.playstation.com/pt-br/product/UP0700-CUSA29213_00-DBPROJECTFORM000,-75%,"R$24,87","R$99,50"
Cannibal Abduction,https://store.playstation.com/pt-br/product/UP6778-PPSA19185_00-0836644174423782,-20%,"R$51,60","R$64,50"
TRANSFORMERS: A CENTELHA DA TERRA - Expedição,https://store.playstation.com/pt-br/product/UP3824-PPSA14263_00-TESBASEGAME00001,-50%,"R$99,75","R$199,50"
Dead Rising 4: Frank's Big Package,https://store.playstation.com/pt-br/product/UP0102-CUSA08540_00-DEADRISING4BUNDL,-75%,"R$37,49","R$149,99"
Greyhill Incident,https://store.playstation.com/pt-br/product/UP3589-CUSA44487_00-0770494160239253,-30%,"R$104,65","R$149,50"
Greyhill Incident,https://store.playstation.com/pt-br/product/UP3589-CUSA44483_00-0675144749227645,-30%,"R$87,15","R$124,50"
Bio Inc. Redemption,https://store.playstation.com/pt-br/product/UP4713-PPSA19855_00-0827431908349233,-20%,"R$63,92","R$79,90"
The Dark Pictures Anthology: Man of Medan PS4 & PS5,https://store.playstation.com/pt-br/product/UP0700-PPSA06489_00-SMGDARKPICTURESA,-50%,"R$52,45","R$104,90"
Scott Pilgrim vs. The World™: The Game – Complete Edition,https://store.playstation.com/pt-br/product/UP0001-CUSA20085_00-SCOTTPILGRIM0001,-67%,"R$20,62","R$62,50"
WORLD OF HORROR,https://store.playstation.com/pt-br/product/UP2251-CUSA37155_00-1630512188477703,-20%,"R$79,60","R$99,50"
Final Fantasy XII The Zodiac Age,https://store.playstation.com/pt-br/product/UP0082-CUSA05532_00-FFXIIGAMEPS400NA,-60%,"R$91,96","R$229,90"
Hello Neighbor 2,https://store.playstation.com/pt-br/product/UP0097-PPSA07425_00-2395303223172491,-50%,"R$99,75","R$199,50"
God of War Digital Deluxe Edition,https://store.playstation.com/pt-br/product/UP9000-CUSA07408_00-GODOFWARDDE00000,-50%,"R$74,75","R$149,50"
Gravity Rush™ Remastered,https://store.playstation.com/pt-br/product/UP9000-CUSA01130_00-GRAVITYRUSHHD000,-50%,"R$49,99","R$99,99"
Cyber Warrior Pack PS4 & PS5,https://store.playstation.com/pt-br/product/UP4395-PPSA02593_00-THEASCENTCWARRUS,-60%,"R$10,76","R$26,90"
CyberSec Pack PS4 & PS5,https://store.playstation.com/pt-br/product/UP4395-PPSA02593_00-THEASCENTCYBERUS,-50%,"R$13,45","R$26,90"
The Ascent PS4 & PS5,https://store.playstation.com/pt-br/product/UP4395-PPSA02593_00-THEASCENT00000US,-70%,"R$44,85","R$149,50"
The Ascent: Cyber Edition PS4 & PS5,https://store.playstation.com/pt-br/product/UP4395-PPSA02593_00-THEASCENTCYBERED,-70%,"R$71,97","R$239,90"
The Ascent: Cyber Heist PS4 & PS5,https://store.playstation.com/pt-br/product/UP4395-PPSA02593_00-THEASCENTEXTRAUS,-50%,"R$26,95","R$53,90"
Devil May Cry 4 Special Edition,https://store.playstation.com/pt-br/product/UP0102-CUSA01671_00-MAINRDOBXXXX0000,-70%,"R$40,17","R$133,90"
Manhunt,https://store.playstation.com/pt-br/product/UP1004-CUSA03512_00-SLUS208270000001,-40%,"R$37,50","R$62,50"
Tchia (PS4 & PS5),https://store.playstation.com/pt-br/product/UP2848-PPSA08244_00-TCHIA000000PS5US,-50%,"R$74,75","R$149,50"
Tchia: Kepler Customization Pack (PS4 & PS5),https://store.playstation.com/pt-br/product/UP2848-PPSA08244_00-TCHIADLC000PS5NA,-50%,"R$21,45","R$42,90"
Blair Witch,https://store.playstation.com/pt-br/product/UP5969-CUSA18142_00-BLAIRWITCHUS0000,-80%,"R$24,98","R$124,90"
Bruxa de Blair: Edição RV,https://store.playstation.com/pt-br/product/UP5969-CUSA26332_00-5639137901760549,-60%,"R$63,96","R$159,90"
Yu-Gi-Oh! ARC-V Gong v. Kit,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGOLOTDXXXARCV4B,-75%,"R$6,72","R$26,90"
Yu-Gi-Oh! ARC-V Sora and Dipper,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGOLOTDXXXARCV2B,-75%,"R$6,72","R$26,90"
Yu-Gi-Oh! ARC-V Yuto v. Sylvio,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGOLOTDXXXARCV1B,-75%,"R$6,72","R$26,90"
Yu-Gi-Oh! ARC-V Zuzu v. Julia,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGOLOTDXXXARCV3B,-75%,"R$6,72","R$26,90"
Yu-Gi-Oh! ARC-V: ARC League Championship,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGODLC2ACHAMPION,-75%,"R$6,72","R$26,90"
Yu-Gi-Oh! ARC-V: Declan vs Celina,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGODLC2ADECLCELI,-75%,"R$6,72","R$26,90"
Yu-Gi-Oh! ARC-V: Jack Atlas vs Yuya,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGODLC2AATLAYUYA,-75%,"R$6,72","R$26,90"
Yu-Gi-Oh! ARC-V: Shay vs Dennis,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGODLC2ASHAYDENN,-75%,"R$6,72","R$26,90"
Yu-Gi-Oh! ARC-V: Yugo’s Synchro Dimension,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGODLC2AYUGOSYNC,-75%,"R$6,72","R$26,90"
Yu-Gi-Oh! ARC-V: Yuya vs Crow,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGODLC2AYUYACROW,-75%,"R$6,72","R$26,90"
Yu-Gi-Oh! Duelist Kingdom,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGOLOTDCLASSIC1B,-75%,"R$6,72","R$26,90"
Yu-Gi-Oh! GX: Leaders,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGODLC2GXLEADERS,-75%,"R$6,72","R$26,90"
Yu-Gi-Oh! Legacy of the Duelist,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGOLEGACYOFDUELB,-75%,"R$26,22","R$104,90"
Yu-Gi-Oh! 5D’s For the Future,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGOLOTDXXXX5DS1B,-75%,"R$6,72","R$26,90"
Yu-Gi-Oh! Legacy of the Duelist! GX Lost Duels,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGOLOTDXXXXXGX1B,-75%,"R$6,72","R$26,90"
Yu-Gi-Oh! Legacy of the Duelist! ZEXAL Dark Mist Saga,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGOLOTDXXZEXAL1B,-75%,"R$6,72","R$26,90"
Yu-Gi-Oh! Waking the Dragons: Joey’s Journey,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGODLC2WDJOEYXXX,-75%,"R$6,72","R$26,90"
Yu-Gi-Oh! Waking the Dragons: Yugi’s Journey,https://store.playstation.com/pt-br/product/UP0101-CUSA02718_00-YGODLC2WDYUGIXXX,-75%,"R$6,72","R$26,90"
TY the Tasmanian Tiger HD,https://store.playstation.com/pt-br/product/UP5452-CUSA20268_00-7582797769000002,-50%,"R$79,95","R$159,90"
Stellaris: Console Edition,https://store.playstation.com/pt-br/product/UP4139-CUSA07740_00-STELLARISPS4US00,-80%,"R$32,98","R$164,90"
DISSIDIA® FINAL FANTASY® NT,https://store.playstation.com/pt-br/product/UP0082-CUSA09512_00-NTPKG00000000000,-65%,"R$43,71","R$124,90"
BlazBlue Cross Tag Battle Special Edition,https://store.playstation.com/pt-br/product/UP0036-CUSA11192_00-BBTAGPS4SPEDIT00,-75%,"R$62,37","R$249,50"
BlazBlue Coss Tag Battle Ver 2.0 Expansion Pack,https://store.playstation.com/pt-br/product/UP0036-CUSA11192_00-BBTAGPS400030000,-75%,"R$33,47","R$133,90"
BlazBlue: Cross Tag Battle,https://store.playstation.com/pt-br/product/UP0036-CUSA11192_00-BBTAGPS400001000,-75%,"R$24,87","R$99,50"
BlazBlue: Cross Tag Battle Add. Character Pack 1-7,https://store.playstation.com/pt-br/product/UP0036-CUSA11192_00-BBTAGPS400010000,-75%,"R$26,22","R$104,90"
Tetris® Effect: Connected,https://store.playstation.com/pt-br/product/UP0751-CUSA13594_00-TETRISEFFECT0000,-50%,"R$99,75","R$199,50"
Sniper Ghost Warrior Contracts 1 & 2 Double Pack,https://store.playstation.com/pt-br/product/UP4321-CUSA23878_00-7875174687418960,-80%,"R$59,98","R$299,90"
Sniper Ghost Warrior Contracts 1 & 2 Double Pack,https://store.playstation.com/pt-br/product/UP4321-PPSA03130_00-9265112116290610,-80%,"R$59,98","R$299,90"
Planet Coaster: Edição Deluxe PS4 & PS5,https://store.playstation.com/pt-br/product/UP2514-PPSA01736_00-PLANCODELUXE0000,-75%,"R$74,97","R$299,90"
Super Meat Boy,https://store.playstation.com/pt-br/product/UP1055-CUSA02845_00-SUPERMEATBOY0000,-80%,"R$15,98","R$79,90"
CARRION,https://store.playstation.com/pt-br/product/UP3643-CUSA27769_00-CARRIONSIEAPS400,-70%,"R$29,85","R$99,50"
CARRION,https://store.playstation.com/pt-br/product/UP3643-PPSA13286_00-0968960074916920,-70%,"R$29,85","R$99,50"
Metro Redux,https://store.playstation.com/pt-br/product/UP2047-CUSA00683_00-MCOMPLREDUXDISC1,-85%,"R$14,99","R$99,99"
ClusterTruck,https://store.playstation.com/pt-br/product/UP0097-CUSA06481_00-CLUSTERTRUCK0000,-75%,"R$19,97","R$79,90"
RESIDENT EVIL REVELATIONS,https://store.playstation.com/pt-br/product/UP0102-CUSA06314_00-RERHDPS400000000,-75%,"R$32,49","R$129,99"
MudRunner,https://store.playstation.com/pt-br/product/UP4133-CUSA09936_00-MUDRUNNERUS00000,-80%,"R$29,90","R$149,50"
Disney•Pixar Up,https://store.playstation.com/pt-br/product/UP1082-CUSA41345_00-0227660722516578,-50%,"R$15,95","R$31,90"
THE HOUSE OF THE DEAD: Remake,https://store.playstation.com/pt-br/product/UP4199-PPSA04649_00-3575269706423269,-75%,"R$33,47","R$133,90"
THEATRHYTHM FINAL BAR LINE,https://store.playstation.com/pt-br/product/UP0082-CUSA32852_00-TFBL000000000000,-50%,"R$124,75","R$249,50"
THEATRHYTHM FINAL BAR LINE Premium Digital Deluxe Edition,https://store.playstation.com/pt-br/product/UP0082-CUSA32852_00-TFBLPDDE00000000,-50%,"R$249,75","R$499,50"
Jurassic World Aftermath Collection PS4 & PS5,https://store.playstation.com/pt-br/product/UP2680-PPSA10064_00-4873227449157442,-60%,"R$63,96","R$159,90"
Infinity Strash: DRAGON QUEST The Adventure of Dai - Edição Digital de Luxo PS4 & PS5,https://store.playstation.com/pt-br/product/UP0082-PPSA08752_00-STRASHDXUPS50001,-33%,"R$233,76","R$348,90"
Lovers in a Dangerous Spacetime,https://store.playstation.com/pt-br/product/UP0045-CUSA04075_00-LOVERS0000000000,-50%,"R$39,95","R$79,90"
F1® Manager 2023,https://store.playstation.com/pt-br/product/UP2514-PPSA15481_00-F1MANAGER2300000,-70%,"R$82,35","R$274,50"
The Last Guardian,https://store.playstation.com/pt-br/product/UP9000-CUSA03627_00-LASTGUARDIANUS00,-50%,"R$49,75","R$99,50"
NOBUNAGA'S AMBITION: Awakening,https://store.playstation.com/pt-br/product/UP4108-CUSA42979_00-HDDBOOT000000004,-25%,"R$239,92","R$319,90"
NOBUNAGA'S AMBITION: Awakening Digital Deluxe Edition,https://store.playstation.com/pt-br/product/UP4108-CUSA42979_00-HDDBOOTDDX000004,-25%,"R$401,17","R$534,90"
Jumanji: Aventuras Selvagens,https://store.playstation.com/pt-br/product/UP3824-PPSA08977_00-JUMANJI2USGAME01,-40%,"R$119,70","R$199,50"
Train Sim World® 4 Compatible: Arosalinie: Chur - Arosa,https://store.playstation.com/pt-br/product/UP3004-PPSA15730_00-TSW4AROSALINEDLC,-60%,"R$63,96","R$159,90"
Train Sim World® 4 Compatible: Cathcart Circle Line: Glasgow - Newton & Neilston,https://store.playstation.com/pt-br/product/UP3004-PPSA15730_00-TSW4CATHCARTLINE,-60%,"R$63,96","R$159,90"
Train Sim World® 4 Compatible: Isle Of Wight,https://store.playstation.com/pt-br/product/UP3004-PPSA15730_00-TSW4ISLEOFWIGHT0,-60%,"R$53,56","R$133,90"
